#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  0.90317  0.010320  0.005311  0.000688     1.943
   0.00632  0.99381  0.00254  0.91097  0.009746  0.005133  0.000762     1.899
   0.01731  0.98304  0.00473  0.92554  0.008815  0.004823  0.000904     1.828
   0.03011  0.97049  0.00724  0.94222  0.007931  0.004502  0.001066     1.762
   0.04441  0.95646  0.01001  0.96018  0.007138  0.004188  0.001242     1.705
   0.05976  0.94138  0.01291  0.97839  0.006460  0.003898  0.001420     1.657
   0.07573  0.92569  0.01588  0.99602  0.005898  0.003642  0.001593     1.619
   0.09203  0.90967  0.01884  1.01275  0.005431  0.003418  0.001758     1.589
   0.10849  0.89346  0.02176  1.02834  0.005044  0.003223  0.001911     1.565
   0.12504  0.87717  0.02463  1.04301  0.004715  0.003050  0.002055     1.546
   0.14163  0.86082  0.02745  1.05670  0.004434  0.002898  0.002189     1.530
   0.15824  0.84444  0.03020  1.06957  0.004189  0.002761  0.002315     1.517
   0.17486  0.82804  0.03289  1.08185  0.003972  0.002637  0.002435     1.506
   0.19149  0.81162  0.03552  1.09356  0.003777  0.002523  0.002549     1.497
   0.20812  0.79519  0.03809  1.10467  0.003602  0.002418  0.002657     1.490
   0.22474  0.77875  0.04059  1.11550  0.003440  0.002320  0.002763     1.483
   0.24137  0.76230  0.04302  1.12591  0.003292  0.002228  0.002865     1.478
   0.25800  0.74585  0.04539  1.13605  0.003154  0.002141  0.002964     1.473
   0.27462  0.72938  0.04769  1.14597  0.003024  0.002059  0.003061     1.469
   0.29124  0.71292  0.04993  1.15568  0.002902  0.001981  0.003157     1.465
   0.30785  0.69645  0.05210  1.16526  0.002786  0.001906  0.003252     1.462
   0.32446  0.67998  0.05420  1.17460  0.002678  0.001834  0.003344     1.460
   0.34105  0.66350  0.05624  1.18404  0.002572  0.001765  0.003439     1.457
   0.35764  0.64703  0.05820  1.19322  0.002472  0.001698  0.003531     1.456
   0.37422  0.63056  0.06009  1.20248  0.002375  0.001633  0.003625     1.454
   0.39079  0.61410  0.06191  1.21166  0.002282  0.001570  0.003719     1.453
   0.40734  0.59764  0.06366  1.22086  0.002191  0.001509  0.003814     1.452
   0.42388  0.58118  0.06533  1.23007  0.002104  0.001450  0.003910     1.451
   0.44040  0.56474  0.06692  1.23932  0.002019  0.001392  0.004008     1.451
   0.45690  0.54830  0.06843  1.24862  0.001937  0.001335  0.004107     1.450
   0.47339  0.53188  0.06985  1.25814  0.001855  0.001279  0.004211     1.450
   0.48985  0.51547  0.07120  1.26757  0.001777  0.001225  0.004314     1.450
   0.50630  0.49907  0.07245  1.27728  0.001700  0.001172  0.004423     1.451
   0.52271  0.48270  0.07362  1.28709  0.001624  0.001119  0.004534     1.451
   0.53910  0.46635  0.07469  1.29718  0.001549  0.001067  0.004653     1.451
   0.55545  0.45002  0.07567  1.30743  0.001476  0.001016  0.004775     1.452
   0.57177  0.43373  0.07654  1.31811  0.001402  0.000966  0.004909     1.452
   0.58802  0.41749  0.07732  1.32922  0.001329  0.000915  0.005054     1.452
   0.60420  0.40134  0.07798  1.34148  0.001253  0.000864  0.005231     1.451
   0.62025  0.38529  0.07852  1.35407  0.001178  0.000814  0.005425     1.449
   0.63621  0.36934  0.07891  1.36547  0.001111  0.000767  0.005601     1.448
   0.65210  0.35345  0.07914  1.37647  0.001046  0.000722  0.005775     1.448
   0.66793  0.33762  0.07922  1.38726  0.000984  0.000679  0.005952     1.448
   0.68371  0.32184  0.07915  1.39785  0.000923  0.000637  0.006133     1.449
   0.69943  0.30612  0.07891  1.40840  0.000865  0.000596  0.006321     1.450
   0.71510  0.29046  0.07850  1.41879  0.000808  0.000557  0.006515     1.451
   0.73070  0.27487  0.07791  1.42927  0.000752  0.000517  0.006724     1.453
   0.74623  0.25935  0.07715  1.43965  0.000697  0.000479  0.006945     1.454
   0.76169  0.24392  0.07620  1.45015  0.000642  0.000441  0.007189     1.456
   0.77706  0.22859  0.07506  1.46060  0.000589  0.000404  0.007457     1.457
   0.79234  0.21338  0.07373  1.47115  0.000535  0.000367  0.007764     1.457
   0.80750  0.19829  0.07219  1.48176  0.000482  0.000331  0.008121     1.457
   0.82254  0.18335  0.07044  1.49234  0.000429  0.000295  0.008538     1.456
   0.83743  0.16859  0.06848  1.50290  0.000376  0.000258  0.008998     1.456
   0.85213  0.15405  0.06629  1.51295  0.000328  0.000223  0.009294     1.472
   0.86661  0.13978  0.06389  1.52300  0.000297  0.000190  0.008529     1.563
   0.88079  0.12584  0.06127  1.53627  0.000311  0.000164  0.005231     1.900
   0.89460  0.11233  0.05844  1.56754  0.000418  0.000142  0.001103     2.933
   0.90791  0.09937  0.05542  1.57825  0.000406  0.000135  0.001015     3.011
   0.92057  0.08711  0.05226  1.59266  0.000383  0.000126  0.001050     3.033
   0.93242  0.07571  0.04901  1.60895  0.000356  0.000118  0.001142     3.032
   0.94332  0.06532  0.04573  1.62638  0.000330  0.000109  0.001262     3.026
   0.95315  0.05602  0.04251  1.64468  0.000303  0.000101  0.001420     3.012
   0.96191  0.04785  0.03938  1.66348  0.000277  0.000093  0.001617     2.993
   0.96962  0.04073  0.03640  1.68260  0.000253  0.000085  0.001880     2.964
   0.97639  0.03458  0.03357  1.70147  0.000230  0.000078  0.002174     2.937
   0.98235  0.02925  0.03090  1.72032  0.000208  0.000072  0.002569     2.898
   0.98761  0.02465  0.02837  1.73856  0.000188  0.000066  0.003046     2.856
   0.99228  0.02064  0.02596  1.75590  0.000170  0.000060  0.003608     2.815
   0.99646  0.01715  0.02365  1.77214  0.000153  0.000055  0.004288     2.771
   1.00023  0.01410  0.02143  1.78675  0.000137  0.000050  0.005102     2.726
   1.00366  0.01144  0.01929  1.79921  0.000122  0.000046  0.006167     2.671
   1.00679  0.00910  0.01719  1.80739  0.000109  0.000041  0.007358     2.622
